tech_category,difficulty,question_desc,option_1,option_2,option_3,option_4,correct_answer
Android,advanced,Apa yang dimaksud dengan Kotlin Flow dan bagaimana penggunaannya di Android?,Library untuk membuat animasi fluid,Teknik untuk mengoptimalkan layout,API untuk stream data yang didesain untuk coroutines,Framework untuk mengelola state aplikasi,API untuk stream data yang didesain untuk coroutines
Android,advanced,Bagaimana cara mengoptimalkan performa aplikasi Android yang kompleks?,Selalu menggunakan library pihak ketiga untuk semua fitur,Menggunakan AsyncTask untuk semua operasi,"Mengimplementasikan teknik seperti lazy loading, efisien layout hierarchy, dan optimasi database queries",Menghindari penggunaan RecyclerView dan menggunakan ScrollView,"Mengimplementasikan teknik seperti lazy loading, efisien layout hierarchy, dan optimasi database queries"
Android,advanced,Apa yang dimaksud dengan Jetpack Compose dan bagaimana pengaruhnya terhadap pengembangan UI Android?,Library untuk membuat animasi kompleks,Modern toolkit untuk membangun native UI dengan pendekatan deklaratif,Framework untuk mengoptimalkan layout XML,Tool untuk otomatisasi desain UI,Modern toolkit untuk membangun native UI dengan pendekatan deklaratif
Cloud Computing,beginner,Apa yang dimaksud dengan Cloud Computing?,Teknologi untuk menyimpan data di awan,Layanan komputasi yang disediakan melalui internet,Sistem untuk mengontrol cuaca,Program untuk mendesain awan,Layanan komputasi yang disediakan melalui internet
Cloud Computing,beginner,Manakah dari berikut ini yang merupakan salah satu model layanan cloud?,Infrastructure as a Service (IaaS),Weather as a Service (WaaS),Computer as a Service (CaaS),Internet as a Service (IaaS),Infrastructure as a Service (IaaS)
Cloud Computing,beginner,Apa kepanjangan dari VPC dalam konteks cloud computing?,Virtual Private Computer,Virtual Public Cloud,Virtual Private Cloud,Virtual Processing Center,Virtual Private Cloud
Cloud Computing,beginner,Apa yang dimaksud dengan istilah 'Region' dalam cloud computing?,Lokasi fisik di mana data center berada,Zona waktu di mana server beroperasi,Wilayah geografis yang dilayani oleh cloud,Bagian dari benua yang menggunakan cloud,Lokasi fisik di mana data center berada
Cloud Computing,beginner,Manakah dari berikut ini yang BUKAN merupakan keuntungan utama cloud computing?,Skalabilitas,Efisiensi biaya,Keamanan data yang dijamin 100%,Aksesibilitas global,Keamanan data yang dijamin 100%
Cloud Computing,beginner,Apa yang dimaksud dengan 'pay-as-you-go' dalam konteks cloud computing?,Membayar sebelum menggunakan layanan,Membayar sesuai dengan penggunaan,Membayar secara bulanan,Membayar sekali untuk penggunaan seumur hidup,Membayar sesuai dengan penggunaan
Cloud Computing,beginner,Apa fungsi utama dari Amazon EC2?,Menyediakan layanan email,Menyediakan kapasitas komputasi yang dapat diubah ukurannya,Menyimpan data dalam jumlah besar,Menganalisis data big data,Menyediakan kapasitas komputasi yang dapat diubah ukurannya
Cloud Computing,beginner,Apa yang dimaksud dengan 'instance' dalam konteks cloud computing?,Sebuah contoh kode program,Server virtual yang berjalan di cloud,Sebuah kasus penggunaan cloud,Bagian dari data center fisik,Server virtual yang berjalan di cloud
Cloud Computing,beginner,Manakah dari berikut ini yang merupakan layanan storage di Google Cloud Platform?,Google Drive,Google Docs,Google Cloud Storage,Google Photos,Google Cloud Storage
Cloud Computing,beginner,Apa yang dimaksud dengan 'serverless computing'?,Komputasi tanpa menggunakan server sama sekali,Model di mana penyedia cloud mengelola infrastruktur server,Komputasi yang dilakukan di perangkat klien,Penggunaan server pribadi untuk komputasi,Model di mana penyedia cloud mengelola infrastruktur server
Cloud Computing,beginner,Apa yang dimaksud dengan 'multi-tenancy' dalam cloud computing?,Penggunaan multiple cloud provider,Berbagi sumber daya fisik antara multiple pelanggan,Memiliki banyak akun di satu cloud provider,Menggunakan banyak server untuk satu aplikasi,Berbagi sumber daya fisik antara multiple pelanggan
Cloud Computing,beginner,Manakah dari berikut ini yang merupakan contoh layanan Platform as a Service (PaaS)?,Amazon EC2,Google App Engine,Dropbox,Microsoft Office 365,Google App Engine
Cloud Computing,beginner,Apa yang dimaksud dengan 'elasticity' dalam konteks cloud computing?,Kemampuan untuk meregang infrastruktur fisik,Fleksibilitas dalam pembayaran layanan cloud,Kemampuan untuk meningkatkan atau menurunkan sumber daya sesuai kebutuhan,Elastisitas jaringan dalam mentransmisikan data,Kemampuan untuk meningkatkan atau menurunkan sumber daya sesuai kebutuhan
Cloud Computing,beginner,Apa fungsi utama dari Amazon S3?,Menyediakan layanan komputasi,Menyimpan dan mengambil data dalam jumlah besar,Mengelola database relasional,Menyediakan layanan email,Menyimpan dan mengambil data dalam jumlah besar
Cloud Computing,beginner,Apa yang dimaksud dengan 'cloud migration'?,Perpindahan awan dari satu tempat ke tempat lain,Proses memindahkan data dan aplikasi dari on-premise ke cloud,Migrasi pelanggan dari satu cloud provider ke provider lain,Perpindahan data center fisik ke lokasi baru,Proses memindahkan data dan aplikasi dari on-premise ke cloud
Cloud Computing,beginner,Manakah dari berikut ini yang BUKAN merupakan jenis utama dari cloud deployment?,Public cloud,Private cloud,Hybrid cloud,Secret cloud,Secret cloud
Cloud Computing,beginner,Apa yang dimaksud dengan 'cloud-native'?,Aplikasi yang hanya bisa berjalan di cloud,Aplikasi yang dirancang dan dibangun untuk berjalan optimal di lingkungan cloud,Teknologi cloud yang dikembangkan oleh perusahaan lokal,Layanan cloud yang hanya tersedia di negara asalnya,Aplikasi yang dirancang dan dibangun untuk berjalan optimal di lingkungan cloud
Cloud Computing,beginner,Apa fungsi utama dari firewall dalam arsitektur cloud?,Mempercepat koneksi internet,Mengenkripsi semua data,Melindungi jaringan dari akses yang tidak sah,Menyimpan data cadangan,Melindungi jaringan dari akses yang tidak sah
Cloud Computing,beginner,Apa kepanjangan dari SLA dalam konteks layanan cloud?,System Level Agreement,Service Level Agreement,Software License Agreement,Server Location Assignment,Service Level Agreement
Cloud Computing,beginner,Apa yang dimaksud dengan 'auto-scaling' dalam cloud computing?,Kemampuan sistem untuk memperbesar ukuran file secara otomatis,Fitur untuk mengubah warna antarmuka pengguna secara otomatis,Kemampuan untuk menambah atau mengurangi sumber daya komputasi secara otomatis berdasarkan kebutuhan,Proses backup otomatis untuk semua data,Kemampuan untuk menambah atau mengurangi sumber daya komputasi secara otomatis berdasarkan kebutuhan
Cloud Computing,beginner,"Dalam konteks keamanan cloud, apa yang dimaksud dengan 'Shared Responsibility Model'?",Semua tanggung jawab keamanan ada pada penyedia cloud,Semua tanggung jawab keamanan ada pada pengguna,Pembagian tanggung jawab keamanan antara penyedia dan pengguna cloud,Model keamanan yang hanya berlaku untuk layanan berbagi file,Pembagian tanggung jawab keamanan antara penyedia dan pengguna cloud
Cloud Computing,intermediate,Apa perbedaan utama antara horizontal scaling dan vertical scaling?,"Horizontal scaling menambah jumlah mesin, vertical scaling meningkatkan kapasitas mesin yang ada","Horizontal scaling untuk database, vertical scaling untuk aplikasi","Horizontal scaling lebih mahal, vertical scaling lebih murah","Horizontal scaling untuk public cloud, vertical scaling untuk private cloud","Horizontal scaling menambah jumlah mesin, vertical scaling meningkatkan kapasitas mesin yang ada"
Cloud Computing,intermediate,Apa yang dimaksud dengan 'idempotency' dalam konteks API cloud?,Kemampuan API untuk selalu memberikan respons yang sama,Sifat di mana multiple request identik memiliki efek yang sama dengan single request,Metode untuk mengenkripsi data yang dikirim melalui API,Teknik untuk meningkatkan kecepatan respons API,Sifat di mana multiple request identik memiliki efek yang sama dengan single request
Cloud Computing,intermediate,Apa yang dimaksud dengan 'Infrastructure as Code' (IaC)?,Kode program yang berjalan di infrastruktur cloud,Metode untuk mengelola dan menyediakan infrastruktur melalui kode daripada konfigurasi manual,Bahasa pemrograman khusus untuk cloud computing,Sistem untuk mengenkripsi infrastruktur cloud,Metode untuk mengelola dan menyediakan infrastruktur melalui kode daripada konfigurasi manual
Cloud Computing,intermediate,Apa fungsi utama dari Amazon CloudFront?,Menyediakan layanan komputasi,Mengelola database NoSQL,Menyediakan Content Delivery Network (CDN),Mengatur keamanan jaringan,Menyediakan Content Delivery Network (CDN)
Cloud Computing,intermediate,Apa yang dimaksud dengan 'Blue-Green Deployment' dalam konteks cloud?,Metode deployment yang menggunakan dua lingkungan identik dengan versi aplikasi yang berbeda,Teknik untuk mengoptimalkan penggunaan energi di data center,Strategi untuk memisahkan data penting dan tidak penting,Metode untuk menggabungkan public dan private cloud,Metode deployment yang menggunakan dua lingkungan identik dengan versi aplikasi yang berbeda
Cloud Computing,intermediate,Apa peran utama dari AWS Lambda?,Menyediakan layanan database relasional,Menjalankan kode tanpa perlu mengelola server,Mengatur lalu lintas jaringan,Menyimpan data dalam jumlah besar,Menjalankan kode tanpa perlu mengelola server
Cloud Computing,intermediate,Apa yang dimaksud dengan 'eventual consistency' dalam sistem database terdistribusi di cloud?,Data akan selalu konsisten di semua node,Data akan menjadi konsisten setelah beberapa waktu,Konsistensi data hanya pada akhir hari,Data tidak pernah konsisten antar node,Data akan menjadi konsisten setelah beberapa waktu
Cloud Computing,intermediate,Apa yang dimaksud dengan 'Cloud-Native Application'?,Aplikasi yang hanya bisa diakses melalui internet,Aplikasi yang dirancang khusus untuk berjalan di lingkungan cloud,Aplikasi yang menggunakan teknologi terbaru,Aplikasi yang dikembangkan oleh perusahaan cloud,Aplikasi yang dirancang khusus untuk berjalan di lingkungan cloud
Cloud Computing,intermediate,Apa peran utama dari Virtual Private Cloud (VPC) di lingkungan AWS?,Menyediakan jaringan virtual terisolasi di cloud,Mengenkripsi semua data yang disimpan di cloud,Menghubungkan multiple cloud providers,Menyediakan antarmuka visual untuk manajemen cloud,Menyediakan jaringan virtual terisolasi di cloud
Cloud Computing,intermediate,Apa yang dimaksud dengan 'Chaos Engineering' dalam konteks cloud?,Teknik untuk membuat arsitektur cloud yang kompleks,Metode untuk mengacaukan sistem pesaing,Praktik untuk meningkatkan ketahanan sistem dengan secara sengaja menyebabkan kegagalan,Strategi untuk mengoptimalkan biaya cloud secara acak,Praktik untuk meningkatkan ketahanan sistem dengan secara sengaja menyebabkan kegagalan
Cloud Computing,intermediate,Apa fungsi utama dari AWS CloudFormation?,Membuat formulir online di cloud,Memodelkan dan menyediakan sumber daya AWS menggunakan template,Menganalisis pembentukan awan di atmosfer,Mengenkripsi komunikasi antar layanan AWS,Memodelkan dan menyediakan sumber daya AWS menggunakan template
Cloud Computing,intermediate,Apa yang dimaksud dengan 'Edge Computing' dan bagaimana hubungannya dengan cloud?,"Komputasi yang dilakukan di perangkat end-user, mengurangi latency dibandingkan dengan cloud terpusat",Teknik untuk mengoptimalkan penggunaan GPU di cloud,Metode untuk meningkatkan keamanan di cloud dengan enkripsi tambahan,Strategi untuk menghubungkan multiple cloud providers,"Komputasi yang dilakukan di perangkat end-user, mengurangi latency dibandingkan dengan cloud terpusat"
Cloud Computing,intermediate,Apa yang dimaksud dengan 'cloud bursting'?,Ketika cloud mengalami kegagalan total,Proses memindahkan semua data ke cloud dalam waktu singkat,Teknik di mana aplikasi berjalan on-premise dan 'meledak' ke cloud saat kebutuhan meningkat,Situasi di mana penggunaan cloud melebihi batas anggaran,Teknik di mana aplikasi berjalan on-premise dan 'meledak' ke cloud saat kebutuhan meningkat
Cloud Computing,intermediate,Apa fungsi utama dari load balancer dalam arsitektur cloud?,Menyeimbangkan biaya penggunaan cloud,Mendistribusikan lalu lintas jaringan ke beberapa server,Mengoptimalkan kecepatan internet,Menyeimbangkan penggunaan daya listrik di data center,Mendistribusikan lalu lintas jaringan ke beberapa server
Cloud Computing,intermediate,Manakah dari berikut ini yang merupakan contoh layanan Container Orchestration?,Docker,Kubernetes,Jenkins,Maven,Kubernetes
Cloud Computing,advanced,Apa fungsi utama dari service mesh dalam arsitektur microservices di cloud?,Menghubungkan microservices ke database,Mengatur komunikasi dan manajemen antar microservices,Menyediakan antarmuka pengguna untuk microservices,Mengonversi microservices menjadi monolithic application,Mengatur komunikasi dan manajemen antar microservices
Cloud Computing,advanced,Bagaimana 'Sharded Database' dapat meningkatkan kinerja dan skalabilitas dalam arsitektur cloud?,Dengan mengenkripsi setiap bagian database secara terpisah,Dengan membagi database menjadi bagian-bagian yang lebih kecil dan mendistribusikannya ke beberapa server,Dengan menggabungkan semua data ke dalam satu database besar,Dengan membatasi akses ke database hanya untuk aplikasi tertentu,Dengan membagi database menjadi bagian-bagian yang lebih kecil dan mendistribusikannya ke beberapa server
Cloud Computing,advanced,Apa yang dimaksud dengan 'Canary Deployment' dalam konteks CI/CD di cloud?,Teknik deployment yang hanya berfungsi di Amazon Web Services,Metode untuk menguji kinerja aplikasi di lingkungan produksi,Strategi rilis di mana perubahan diperkenalkan secara bertahap ke subset pengguna sebelum rilis penuh,Pendekatan untuk mengamankan pipeline CI/CD dari serangan siber,Strategi rilis di mana perubahan diperkenalkan secara bertahap ke subset pengguna sebelum rilis penuh
Cloud Computing,advanced,Bagaimana 'Event-Driven Architecture' diterapkan dalam pengembangan aplikasi cloud-native?,Dengan menggunakan events sebagai mekanisme utama untuk komunikasi antar komponen,Dengan menjadwalkan semua operasi aplikasi pada waktu-waktu tertentu,Dengan menghindari penggunaan asynchronous processing,Dengan menggabungkan semua layanan menjadi satu monolith,Dengan menggunakan events sebagai mekanisme utama untuk komunikasi antar komponen
Cloud Computing,advanced,"Apa peran 'Service Mesh' dalam arsitektur microservices di cloud, dan apa contoh implementasinya?",Menggabungkan semua microservices menjadi satu layanan; contohnya adalah Docker Swarm,"Mengelola komunikasi antar-service, keamanan, dan observability; contohnya adalah Istio",Menyediakan antarmuka pengguna untuk microservices; contohnya adalah React,Mengonversi microservices ke format yang kompatibel dengan cloud; contohnya adalah Kubernetes,"Mengelola komunikasi antar-service, keamanan, dan observability; contohnya adalah Istio"
Cloud Computing,advanced,Bagaimana 'Strangler Pattern' digunakan dalam modernisasi aplikasi di cloud?,Untuk menghapus semua kode lama secara langsung,Untuk memigrasikan fitur-fitur aplikasi monolitik ke arsitektur baru secara bertahap,Untuk mengoptimalkan penggunaan CPU dalam instance cloud,Untuk mengisolasi aplikasi dari serangan DDoS,Untuk memigrasikan fitur-fitur aplikasi monolitik ke arsitektur baru secara bertahap
Cloud Computing,advanced,"Apa yang dimaksud dengan 'Polyglot Persistence' dalam arsitektur database cloud, dan apa keuntungannya?",Menggunakan satu jenis database untuk semua kebutuhan; meningkatkan konsistensi,Menggunakan berbagai jenis database sesuai kebutuhan spesifik; meningkatkan fleksibilitas dan kinerja,Menyimpan data dalam berbagai bahasa; meningkatkan internasionalisasi,Mengenkripsi database dengan multiple algoritma; meningkatkan keamanan,Menggunakan berbagai jenis database sesuai kebutuhan spesifik; meningkatkan fleksibilitas dan kinerja
Cloud Computing,advanced,Bagaimana 'Circuit Breaker Pattern' diterapkan dalam arsitektur microservices di cloud?,Untuk memutus koneksi internet ke microservices yang bermasalah,Untuk mencegah kegagalan cascade dengan mendeteksi kegagalan dan mencegah operasi yang mungkin gagal,Untuk mengalihkan semua traffic ke backup service,Untuk mematikan semua microservices saat terjadi kegagalan sistem,Untuk mencegah kegagalan cascade dengan mendeteksi kegagalan dan mencegah operasi yang mungkin gagal
Cloud Computing,advanced,Apa yang dimaksud dengan 'GitOps' dalam konteks manajemen infrastruktur cloud?,Penggunaan Git hanya untuk menyimpan kode aplikasi,Praktik menggunakan Git sebagai sumber kebenaran untuk manajemen dan deployment infrastruktur,Metode untuk menggabungkan semua repositori Git menjadi satu,Teknik untuk mengamankan repositori Git dari akses tidak sah,Praktik menggunakan Git sebagai sumber kebenaran untuk manajemen dan deployment infrastruktur
Cloud Computing,advanced,Apa yang dimaksud dengan 'Cloud-Native Observability' dan bagaimana ini berbeda dari metode monitoring tradisional?,Hanya fokus pada monitoring infrastruktur cloud,Menggunakan AI untuk memprediksi masalah di cloud,"Pendekatan holistik yang mengintegrasikan metrics, logs, dan tracing dalam lingkungan cloud yang dinamis",Metode untuk mengamati awan secara fisik menggunakan satelit,"Pendekatan holistik yang mengintegrasikan metrics, logs, dan tracing dalam lingkungan cloud yang dinamis"
